<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20150917;160000;142.8500000;143.0900000;142.7700000;142.9600000;692060
GAZP;60;20150917;170000;142.9800000;143.0900000;142.5300000;142.8200000;1482930
GAZP;60;20150917;180000;142.7700000;143.1000000;142.7300000;142.8400000;1210060
GAZP;60;20150917;190000;142.8700000;143.0500000;142.7200000;142.8000000;1447530
GAZP;60;20150918;110000;143.3400000;143.4000000;142.4100000;142.5200000;3693160
GAZP;60;20150918;120000;142.4500000;142.5900000;142.0700000;142.5000000;2368480
GAZP;60;20150918;130000;142.4700000;142.9900000;142.1000000;142.2000000;3569000
GAZP;60;20150918;140000;142.2400000;142.2900000;141.7500000;141.7800000;3192510
GAZP;60;20150918;150000;141.7700000;141.8700000;141.5300000;141.6900000;2625620
GAZP;60;20150918;160000;141.6800000;141.6900000;140.5500000;140.8300000;4270640
GAZP;60;20150918;170000;140.8200000;140.8400000;139.1300000;139.2900000;9540320
GAZP;60;20150918;180000;139.2400000;140.9000000;139.1000000;140.9000000;4776750
GAZP;60;20150918;190000;140.8800000;141.6500000;139.5000000;139.5000000;10144420
GAZP;60;20150921;110000;140.1100000;140.6700000;139.3400000;139.7300000;5261670
GAZP;60;20150921;120000;139.7000000;140.1000000;139.6900000;139.9100000;801440
GAZP;60;20150921;130000;139.9200000;140.7100000;139.9200000;140.4400000;1691580
GAZP;60;20150921;140000;140.4400000;140.8400000;139.9500000;140.1000000;1731330
GAZP;60;20150921;150000;140.1200000;140.5600000;140.0000000;140.3700000;1325360
GAZP;60;20150921;160000;140.4100000;140.6600000;140.2400000;140.4900000;866160
GAZP;60;20150921;170000;140.5100000;140.5500000;139.5900000;139.6100000;1927500
GAZP;60;20150921;180000;139.6000000;139.7500000;138.8200000;139.1000000;5169200
GAZP;60;20150921;190000;139.1500000;139.4500000;139.1000000;139.4500000;1928430
GAZP;60;20150922;110000;139.7100000;139.7100000;138.3900000;138.6800000;3744970
GAZP;60;20150922;120000;138.6700000;139.0000000;138.0000000;138.0500000;4110650
GAZP;60;20150922;130000;138.0700000;138.2400000;137.5300000;138.0700000;4311250
GAZP;60;20150922;140000;138.0700000;138.3900000;137.9500000;138.3300000;1559360
GAZP;60;20150922;150000;138.2900000;138.3600000;137.9000000;137.9800000;1964460
GAZP;60;20150922;160000;137.9300000;138.0900000;137.1600000;137.4100000;3686000
GAZP;60;20150922;170000;137.4000000;137.6900000;136.7400000;136.7500000;3953910
GAZP;60;20150922;180000;136.7500000;136.8600000;135.8000000;135.8600000;9075600
GAZP;60;20150922;190000;135.8600000;136.4000000;135.6800000;136.4000000;4088850
GAZP;60;20150923;110000;136.4000000;136.8800000;135.5600000;136.3100000;5298920
GAZP;60;20150923;120000;136.2400000;136.4000000;135.8000000;136.1800000;2805880
